Āfrika	Afrika
Japāna	Japan
Dienvidamerika	Südamerika
Norvēģija	Norwegen
Anglija	England
Skotija	Schottland
Velsa	Wales
Ziemeļīrija	Nordirland
Īrija	Irland
Ungārija	Ungarn
Spānija	Spanien
Amerikas Savienotās Valstis	Vereinigte Staaten
Beļģija	Belgien
Luksemburga	Luxemburg
Visums	Universum
Zeme	Erde
Dzīvība	Leben
Nāve	Tod
Cilvēks	Mensch
Laime	Glück
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (Lied)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finnland
Zviedrija	Schweden
Dānija	Dänemark
Polija	Polen
Lietuva	Litauen
Itālija	Italien
Šveice	Schweiz
Austrija	Österreich
Grieķija	Griechenland
Turcija	Türkei
Alus	Bier
Portugāle	Portugal
Eiropa	Europa
Āzija	Asien
Ziemeļamerika	Nordamerika
Antarktīda	Antarktika
Vikipēdija	Wikipedia
All your base are belong to us	All your base are belong to us
Nīderlande	Niederlande
Dzimumloceklis	Penis
PHP	PHP
Ņujorka	New York City
Vašingtona	Washington, D.C.
Sanfrancisko	San Francisco
Berlīne	Berlin
Losandželosa	Los Angeles
Boeing	Boeing
Airbus	Airbus
Dators	Computer
Berne	Bern
Ženēva	Genf
Cīrihe	Zürich
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Basel
Printeris	Drucker (Gerät)
MediaWiki	MediaWiki
Londona	London
Kaira	Kairo
Galvassāpes	Kopfschmerz
Aleksandrija	Alexandria
Aleksandrija (Virdžīnija)	Alexandria (Virginia)
Parīze	Paris
Abrahams Linkolns	Abraham Lincoln
Android	Android (Betriebssystem)
Google	Google Inc.
Meksika	Mexiko
Atlantijas okeāns	Atlantischer Ozean
Klusais okeāns	Pazifischer Ozean
Kalifornija	Kalifornien
Bostona	Boston
Pirmdiena	Montag
Telpa	Raum (Physik)
Janvāris	Januar
Februāris	Februar
Marts	März
Marss (planēta)	Mars (Planet)
Marss (mitoloģija)	Mars (Mythologie)
Kenija	Kenia
Etiopija	Äthiopien
Monarhs	Herrschertitel
Gana	Ghana
Aprīlis	April
Maijs	Mai
Jūnijs	Juni
Jūlijs	Juli
Augusts	August
Septembris	September
Oktobris	Oktober
Novembris	November
Decembris	Dezember
Otrdiena	Dienstag
Trešdiena	Mittwoch
Ceturtdiena	Donnerstag
