ఆఫ్రికా	Afrika
పాలపుంత	Milchstraße
మహా విస్ఫోటం	Urknall
యురేనస్	Uranus (Planet)
ఆంగ్ల వికీపీడియా	Englischsprachige Wikipedia
నెప్ట్యూన్	Neptun (Planet)
ఖగోళ శాస్త్రము	Astronomie
సింగపూరు	Singapur
విజ్ఞానశాస్త్రం	Wissenschaft
ప్లూటో	Pluto
మాంట్రియల్	Montreal
కాలము	Zukunft
మరియమ్	Maria (Mutter Jesu)
ఆటలు	Sport
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
గూగుల్+	Google+
వికీలీక్స్	WikiLeaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	Erster Weltkrieg
రెండవ ప్రపంచ యుద్ధం	Zweiter Weltkrieg
కొలోన్	Köln
లంచం	Korruption
వికీబుక్స్	Wikibooks
వికీకోట్	Wikiquote
ఉబుంటు	Ubuntu
లినక్స్	Linux
బాబ్ డైలాన్	Bob Dylan
గణితము	Mathematik
లాటిన్	Latein
బహ్రయిన్	Bahrain
ఆర్మేనియా	Armenien
జెన్నా జేమ్సన్	Jenna Jameson
సెర్బియా	Serbien
చంద్రుడు	Mond
ఇస్తాంబుల్	Istanbul
ఆస్ట్రేలియా	Australien
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Physik
అర్జెంటీనా	Argentinien
పెరూ	Peru
జీవ శాస్త్రము	Biologie
గుర్తించబడని ఎగురుతున్న వస్తువు	UFO
ఉత్తర కొరియా	Nordkorea
కంబోడియా	Kambodscha
క్యూపర్ బెల్ట్	Kuipergürtel
ఖోరాన్	Koran
రాక్షసబల్లి	Dinosaurier
జంతుశాస్త్రం	Zoologie
ఇస్లాం మతం	Islam
వృక్షశాస్త్రం	Botanik
లెక్ వలీసా	Lech Wałęsa
చక్రం	Rad
శాంతి	Frieden
బ్రిటానికా విజ్ఞాన సర్వస్వము	Encyclopædia Britannica
ఐరోపా సమాఖ్య	Europäische Union
వరల్డ్ వైడ్ వెబ్	World Wide Web
స్త్రీ	Frau
కవి	Poesie
కంప్యూటర్ వైరస్	Computervirus
నవ్వు	Lächeln
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	Atombombenabwürfe auf Hiroshima und Nagasaki
మిలన్	Mailand
మిత్రుడు	Freundschaft
మలము	Kot
గుదము	Anus
చంక	Achsel
నిమ్మ	Zitrone
పుష్పము	Blüte
గూగోల్	Googol
ఎవరెస్టు పర్వతం	Mount Everest
శరీర నిర్మాణ శాస్త్రము	Anatomie
నగరము	Stadt
నెపోలియన్	Napoleon Bonaparte
శరీరశాస్త్రం	Physiologie
నక్షత్రము (ఖగోళశాస్త్రం)	Stern
సూర్యుడు	Sonne
ఆకాశం	Himmel (planetär)
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Lichtjahr
గ్రామం	Dorf
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Ozeanien
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Sonnensystem
హైడ్రోజన్	Wasserstoff
హీలియం	Helium
నరకం	Hölle
వికీపీడియా:వికీమీడియా కామన్స్	Wikimedia Commons
లిథియం	Lithium
బెరీలియం	Beryllium
పుస్తకము	Buch
తూర్పు తైమూర్	Osttimor
రాత్రి	Nacht
సంవత్సరము	Jahr
కృష్ణబిలం	Schwarzes Loch
సెరిస్ (మరుగుజ్జు గ్రహం)	(1) Ceres
లిస్బన్	Lissabon
ఎరిస్ (మరుగుజ్జు గ్రహం)	(136199) Eris
దుబాయ్	Dubai (Emirat)
బోరాన్	Bor
నికోలాస్ కోపర్నికస్	Nikolaus Kopernikus
కార్బన్	Kohlenstoff
నత్రజని	Stickstoff
ఆక్సిజన్	Sauerstoff
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	Inter Mailand
గ్రహం	Planet
క్లియోపాత్రా	Kleopatra VII.
భారతీయ సంగీతము	Musik
వెనిస్	Venedig
ఉష్ణమాపకం	Thermometer
మాస్కో	Moskau
ఫ్లోరిన్	Fluor
చువావా (కుక్క)	Chihuahua (Hunderasse)
నియాన్	Neon
సెయింట్ పీటర్స్‌బర్గ్	Sankt Petersburg
చాద్	Tschad
సోడియం	Natrium
ఉత్తరం	Norden
మెగ్నీషియం	Magnesium
అల్యూమినియం	Aluminium
న్యూజీలాండ్	Neuseeland
దక్షిణం	Süden
భారత దేశము	Indien
సిలికాన్	Silicium
భాస్వరము	Phosphor
ఇనుము	Eisen
పడమర	Westen
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Schwefel
సమోవా	Samoa
తూర్పు	Osten
సోలమన్ దీవులు	Salomonen
వనాటు	Vanuatu
క్లోరిన్	Chlor
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Mozilla Firefox
పొటాషియం	Kalium
కాల్షియమ్	Calcium
సీసము (మూలకము)	Blei
కిరిబటి	Kiribati
మంగోలియా	Mongolei
ఫిజీ	Fidschi
స్కాండియం	Scandium
టైటానియం	Titan (Element)
వెనుజులా	Venezuela
చదరంగం (ఆట)	Schach
చెంఘీజ్ ఖాన్	Dschingis Khan
వెనేడియం	Vanadium
మెయిన్	Maine
క్రోమియం	Chrom
గుర్రము	Hauspferd
ఆయుధం	Waffe
జంతువు	Tier
సురినామ్	Suriname
మాంగనీస్	Mangan
గయానా	Guyana
ఈక్వడార్	Ecuador
కొలంబియా	Kolumbien
కోబాల్ట్	Cobalt
నికెల్	Nickel
బౌద్ధ మతము	Buddhismus
బొలీవియా	Bolivien
ఓస్మియం	Osmium
రాగి	Kupfer
ట్రినిడాడ్ మరియు టొబాగో	Trinidad und Tobago
మొక్క	Pflanzen
తుత్తునాగము	Zink
న్యూహాంప్‌షైర్	New Hampshire
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Pilze
జమైకా	Jamaika
మసాచూసెట్స్	Massachusetts
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	Bahamas
కనెక్టికట్	Connecticut
కోడి	Haushuhn
ఆంటిగ్వా మరియు బార్బుడా	Antigua und Barbuda
హవాయి	Hawaii
హోండురాస్	Honduras
జెర్సీ	Jersey
డొమెనికన్ రిపబ్లిక్	Dominikanische Republik
పంది	Hausschwein
ఆర్క్‌టిక్ మహాసముద్రం	Arktischer Ozean
ఇరాన్	Iran
మూగతనం	Dummheit
ఇరాక్	Irak
అలాస్కా	Alaska
వివేకం	Weisheit
కోస్టారీకా	Costa Rica
ఇజ్రాయిల్	Israel
పనామా	Panama
యెమన్	Jemen
వైరస్	Viren
జోర్డాన్	Jordanien
ఫ్లోరిడా	Florida
కిర్గిజిస్తాన్	Kirgisistan
ఆరిజోనా	Arizona
కువైట్	Kuwait
లావోస్	Laos
లెబనాన్	Libanon
ఓరెగాన్	Oregon
మాల్దీవులు	Malediven
యూటా	Utah
పశువు	Hausrind
మలేషియా	Malaysia
మయన్మార్	Myanmar
నేపాల్	Nepal
ఒమన్	Oman
పాకిస్తాన్	Pakistan
‌జేమ్స్ బాండ్	James Bond
కతర్	Katar
టెన్నిస్	Tennis
సౌదీ అరేబియా	Saudi-Arabien
శ్రీలంక	Sri Lanka
స్టాలిన్	Josef Stalin
బార్‌కోడ్	Strichcode
సిరియా	Syrien
ప్లేటో	Platon
గాలియం	Gallium
తజికిస్తాన్	Tadschikistan
తైవాన్	Republik China (Taiwan)
యూ ట్యూబ్	YouTube
జెర్మేనియం	Germanium
అరిస్టాటిల్	Aristoteles
థాయిలాండ్	Thailand
రైలు	Zug (Eisenbahn)
ఆర్సెనిక్	Arsen
రేడియో	Hörfunk
తుర్కమేనిస్తాన్	Turkmenistan
సెలీనియం	Selen
యునైటెడ్ అరబ్ ఎమిరేట్స్	Vereinigte Arabische Emirate
బ్రోమిన్	Brom
వియత్నాం	Vietnam
చార్లీ చాప్లిన్	Charlie Chaplin
దక్షిణ కొరియా	Südkorea
ఆఫ్ఘనిస్తాన్	Afghanistan
బంగారం	Gold
సూయజ్ కాలువ	Sueskanal
శాస్త్రవేత్త	Wissenschaftler
బంగ్లాదేశ్	Bangladesch
ఫ్రాంజ్ కాఫ్కా	Franz Kafka
జార్జ్ లూయిస్ బోర్గర్స్	Jorge Luis Borges
సోక్రటీసు	Sokrates
అంగోలా	Angola
భూటాన్	Bhutan
ట్విట్టర్	Twitter
బ్రూనై	Brunei
టాంజానియా	Tansania
ఫిలిప్పీన్స్	Philippinen
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	Zentralafrikanische Republik
ఐజాక్ న్యూటన్	Isaac Newton
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
స్ట్రాన్షియం	Strontium
పసుపు (రంగు)	Gelb
ట్యునీషియా	Tunesien
జాంబియా	Sambia
జింబాబ్వే	Simbabwe
బీజింగ్	Peking
దక్షిణ సూడాన్	Südsudan
బెనిన్	Benin
బోత్సువానా	Botswana
బర్కీనా ఫాసో	Burkina Faso
బురుండి	Burundi
కొమొరోస్	Komoren
కాంగో రిపబ్లిక్	Republik Kongo
శాన్ అంటోనియో	San Antonio
జిబౌటి	Dschibuti
బవేరియా	Bayern
ఎరిత్రియా	Eritrea
క్రొత్త ఢిల్లీ	Neu-Delhi
దాస్తొయెవ్‌స్కీ	Fjodor Michailowitsch Dostojewski
శిశువు	Säugling
గబాన్	Gabun
మహాత్మా గాంధీ	Mohandas Karamchand Gandhi
కామిక్స్	Comic
గాంబియా	Gambia
కోటె డి ఐవొరి	Elfenbeinküste
కామెరూన్	Kamerun
కేప్ వర్దె	Kap Verde
లిబియా	Libyen
మడగాస్కర్	Madagaskar
మౌరిటానియ	Mauretanien
మారిషస్	Mauritius
మొరాకో	Marokko
మొజాంబిక్	Mosambik
నమీబియా	Namibia
నైజర్	Niger
నైజీరియా	Nigeria
చార్లెస్ డార్విన్	Charles Darwin
ఉగాండా	Uganda
రువాండా	Ruanda
సెనెగల్	Senegal
కరోలస్ లిన్నేయస్	Carl von Linné
సొమాలియా	Somalia
నియోబియం	Niob
జవహర్‌లాల్ నెహ్రూ	Jawaharlal Nehru
జూలియస్ సీజర్	Gaius Iulius Caesar
సూడాన్	Sudan
ఇంద్రధనస్సు	Regenbogen
టెక్నీషియం	Technetium
నరేంద్ర మోడి	Narendra Modi
రోగ నిరోధక వ్యవస్థ	Immunsystem
గుజరాత్	Gujarat
పరిణామం	Evolution
ఐక్యరాజ్య సమితి	Vereinte Nationen
భూగోళ శాస్త్రము	Geographie
గుండె	Herz
మెదడు	Gehirn
చర్మము	Haut
రంగు	Farbe
నామవాచకం	Substantiv
నీలము	Blau
వెండి	Silber
కాడ్మియం	Cadmium
తగరము	Zinn
అయోడిన్	Iod
సీసియం	Caesium
విద్యుద్భరితము	Elektrische Ladung
బిల్ క్లింటన్	Bill Clinton
ఇందిరా గాంధీ	Indira Gandhi
ముంబై	Mumbai
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అరుణాచల్ ప్రదేశ్	Arunachal Pradesh
అసోం	Assam
బీహార్	Bihar
మిషిగన్	Michigan
ఛత్తీస్‌గఢ్	Chhattisgarh
గోవా	Goa
హర్యానా	Haryana
హిమాచల్ ప్రదేశ్	Himachal Pradesh
జమ్మూ కాశ్మీరు	Jammu und Kashmir
ఫ్యూర్టో రికో	Puerto Rico
జార్ఖండ్	Jharkhand
కర్ణాటక	Karnataka
కేరళ	Kerala
మధ్య ప్రదేశ్	Madhya Pradesh
ఉసేన్ బోల్ట్	Usain Bolt
మహారాష్ట్ర	Maharashtra
మణిపూర్	Manipur
మేఘాలయ	Meghalaya
ఇల్లినాయిస్	Illinois
నార్త్ డకోటా	North Dakota
సౌత్ డకోటా	South Dakota
మొంటానా	Montana
వయోమింగ్	Wyoming
జెరూసలేం	Jerusalem
ఐడహొ	Idaho
బ్రూస్ స్ప్రింగ్‌స్టీన్	Bruce Springsteen
నెవాడా	Nevada
హిందూ మహాసముద్రం	Indischer Ozean
కోఫీ అన్నన్	Kofi Annan
బౌత్రోస్ బౌత్రోస్ ఘలీ	Boutros Boutros-Ghali
జేవియర్ పెరేజ్ డిక్యుల్లర్	Javier Pérez de Cuéllar
కొలరాడో	Colorado
యూ థాంట్	U Thant
కొలరాడో నది	Colorado River
ట్రిగ్వేలీ	Trygve Lie
వర్గం:వర్గాలు	Kategorie:!Hauptkategorie
ఆల్ప్స్ పర్వతాలు	Alpen
బ్లేజ్ పాస్కల్	Blaise Pascal
డార్ట్ ముండ్	Dortmund
చికాగో	Chicago
ద బీటిల్స్	The Beatles
చలికాలం	Winter
వేసవి కాలం	Sommer
విషువత్తు	Äquinoktium
సద్దామ్ హుసేన్	Saddam Hussein
ఒసామా బిన్ లాదెన్	Osama bin Laden
స్పానిష్ భాష	Spanische Sprache
పిట్స్‌బర్గ్	Pittsburgh
ఫిలడెల్ఫియా,పెన్సిల్వేనియా	Philadelphia
కోల్‌కత	Kalkutta
చెన్నై	Chennai
ఢిల్లీ	Delhi
ఢాకా	Dhaka
బెంగుళూరు	Bangalore
పశ్చిమ బెంగాల్	Westbengalen
సాలెపురుగు	Webspinnen
ఆర్థ్రోపోడా	Gliederfüßer
హైదరాబాదు	Hyderabad (Indien)
ఇస్లామాబాద్	Islamabad
త్రిపుర	Tripura
పండు	Frucht
ధనం	Geld
వర్జీనియా	Virginia
పశ్చిమ వర్జీనియా	West Virginia
న్యూయార్క్ రాష్ట్రం	New York (Bundesstaat)
రోడ్ ఐలండ్	Rhode Island
కీటకము	Insekten
మేరీల్యాండ్	Maryland
డెలావేర్	Delaware
లెనిన్	Wladimir Iljitsch Lenin
ఒహాయో	Ohio
మాకియవెలీ	Niccolò Machiavelli
పెన్సిల్వేనియా	Pennsylvania
ఊఎతెర్సెన్	Uetersen
ఆగస్టస్	Augustus
విండోస్	Microsoft Windows
న్యూజెర్సీ	New Jersey
నీరో	Nero
ఇండియానా	Indiana
నోకియా	Nokia
కారు	Automobil
రోజర్ ఫెడరర్	Roger Federer
జార్జియా	Georgia
కెడిఇ(KDE)	KDE
రాజస్థాన్	Rajasthan
టెక్సస్	Texas
తమిళనాడు	Tamil Nadu
నార్త్ కెరొలినా	North Carolina
మైదాన హాకీ	Hockey
సౌత్ కెరొలినా	South Carolina
సిసిలీ	Autonome Region Sizilien
మనీలా	Manila
సార్డీనియా	Sardinien
క్రోన్స్ వ్యాధి	Morbus Crohn
టోక్యో	Präfektur Tokio
అనాస	Ananas
మిసిసిపీ	Mississippi (Staat)
మిసిసిపీ నది	Mississippi River
ఉత్తర ప్రదేశ్	Uttar Pradesh
ఉత్తరాఖండ్	Uttarakhand
ఈత కొలను	Schwimmbecken
మిజోరాం	Mizoram
సిక్కిం	Sikkim
టేనస్సీ	Tennessee
నాగపూర్	Nagpur
న్యూ మెక్సికో	New Mexico
ఏథెన్స్	Athen
మిన్నసోటా	Minnesota
విస్కాన్సిన్	Wisconsin
పూణే	Pune
అయోవా	Iowa
నెబ్రాస్కా	Nebraska
కాన్సాస్	Kansas
హిందీ భాష	Hindi
మరాఠీ భాష	Marathi
పొగ చుట్ట	Zigarre
సిగరెట్	Zigarette
వినాయకుడు	Ganesha
మిస్సోరీ	Missouri
లూసియానా	Louisiana
నాగాలాండ్	Nagaland
కెంటకీ	Kentucky
ఆర్కాన్సా	Arkansas
నీల్ ఆర్మ్‌స్ట్రాంగ్	Neil Armstrong
ఉర్దూ భాష	Urdu
ఓక్లహోమా	Oklahoma
డానుబే	Donau
వాలీబాల్	Volleyball
వియన్నా	Wien
కోపెన్‌హాగన్	Kopenhagen
స్టాక్‌హోమ్	Stockholm
కొచ్చి	Kochi (Indien)
బైబిల్	Bibel
నిజ ఏసుక్రీస్తు మండలి	Wahre Jesus-Kirche
ఆంగ్ల భాష	Englische Sprache
బ్యాంకాక్	Bangkok
క్యివ్	Kiew
అంటారియో	Ontario
అటావా	Ottawa
కొన్‌స్కొవొలా	Końskowola
ఫార్ములా వన్	Formel 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
కార్బన్ డయాక్సైడ్	Kohlenstoffdioxid
2013	2013
2008	2008
జావాస్క్రిప్టు	JavaScript
2004	2004
2005	2005
2006	2006
2007	2007
లినక్స్ మింట్	Linux Mint
1900	1900
1901	1901
1902	1902
ఫ్లోరెన్స్	Florenz
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
హెచ్‌టిఎమ్ఎల్5(HTML5)	HTML5
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
ఆహారం	Lebensmittel
పాము	Schlangen
XML	Extensible Markup Language
నోటితో రతి	Oralverkehr
న్యూట్రినో	Neutrino
జనవరి 1	1. Januar
జనవరి 2	2. Januar
సుభాష్ చంద్రబోస్	Subhash Chandra Bose
1920	1920
జనవరి 3	3. Januar
1919	1919
1921	1921
1922	1922
జనవరి 4	4. Januar
1923	1923
1924	1924
ఆస్టెరాయిడ్ పట్టీ	Asteroidengürtel
గిఫ్	Graphics Interchange Format
మరుగుజ్జు గ్రహం	Zwergplanet
జనవరి 5	5. Januar
జనవరి 6	6. Januar
ఎలక్ట్రాన్	Elektron
జనవరి 7	7. Januar
జనవరి 8	8. Januar
జనవరి 9	9. Januar
జనవరి 10	10. Januar
జనవరి 11	11. Januar
జనవరి 12	12. Januar
జనవరి 13	13. Januar
బర్మింగ్‌హామ్	Birmingham
జనవరి 14	14. Januar
జనవరి 15	15. Januar
జనవరి 16	16. Januar
జనవరి 17	17. Januar
జనవరి 18	18. Januar
జనవరి 19	19. Januar
జనవరి 20	20. Januar
పారిశ్రామిక విప్లవం	Industrielle Revolution
జనవరి 21	21. Januar
జనవరి 22	22. Januar
జనవరి 23	23. Januar
జనవరి 24	24. Januar
జనవరి 25	25. Januar
జనవరి 26	26. Januar
మైక్రోసాఫ్ట్	Microsoft
జనవరి 27	27. Januar
జనవరి 28	28. Januar
జనవరి 29	29. Januar
జనవరి 30	30. Januar
జనవరి 31	31. Januar
ప్రోటాన్	Proton
డిసెంబర్ 2	2. Dezember
డిసెంబర్ 1	1. Dezember
డిసెంబర్ 3	3. Dezember
డిసెంబర్ 7	7. Dezember
డిసెంబర్ 5	5. Dezember
డిసెంబర్ 8	8. Dezember
డిసెంబర్ 10	10. Dezember
డిసెంబర్ 6	6. Dezember
డిసెంబర్ 9	9. Dezember
పింక్ ఫ్లాయిడ్	Pink Floyd
డిసెంబర్ 4	4. Dezember
ఫిబ్రవరి 1	1. Februar
ఫిబ్రవరి 2	2. Februar
ఫిబ్రవరి 3	3. Februar
కురోవ్	Kurów
ఫిబ్రవరి 4	4. Februar
ఫిబ్రవరి 5	5. Februar
ఫిబ్రవరి 6	6. Februar
ఫిబ్రవరి 7	7. Februar
ఫిబ్రవరి 8	8. Februar
ఫిబ్రవరి 9	9. Februar
ఫిబ్రవరి 10	10. Februar
రసాయన శాస్త్రము	Chemie
ఫిబ్రవరి 14	14. Februar
ఫిబ్రవరి 13	13. Februar
ఫిబ్రవరి 15	15. Februar
ఫిబ్రవరి 11	11. Februar
ఫిబ్రవరి 12	12. Februar
ఫిబ్రవరి 19	19. Februar
ఫిబ్రవరి 17	17. Februar
ఫిబ్రవరి 16	16. Februar
ఫిబ్రవరి 18	18. Februar
ఫిబ్రవరి 20	20. Februar
12 యాంగ్రీ మెన్	Die zwölf Geschworenen
న్యూట్రాన్	Neutron
69 భంగిమ	Neunundsechzig
ఫిబ్రవరి 21	21. Februar
ఫిబ్రవరి 22	22. Februar
ఫిబ్రవరి 23	23. Februar
ఫిబ్రవరి 24	24. Februar
ఫిబ్రవరి 25	25. Februar
ఫిబ్రవరి 26	26. Februar
ఫిబ్రవరి 27	27. Februar
ఫిబ్రవరి 28	28. Februar
డిసెంబర్ 11	11. Dezember
ఫిబ్రవరి 29	29. Februar
డిసెంబర్ 12	12. Dezember
విజువల్ బేసిక్	Visual Basic Classic
డిసెంబర్ 13	13. Dezember
డిసెంబర్ 14	14. Dezember
డిసెంబర్ 15	15. Dezember
మార్చి 2	2. März
మార్చి 3	3. März
మార్చి 5	5. März
మార్చి 1	1. März
మార్చి 7	7. März
మార్చి 8	8. März
మార్చి 4	4. März
మార్చి 10	10. März
మార్చి 11	11. März
మార్చి 6	6. März
మార్చి 13	13. März
మార్చి 9	9. März
మార్చి 12	12. März
మార్చి 15	15. März
మార్చి 14	14. März
డిసెంబర్ 16	16. Dezember
డిసెంబర్ 17	17. Dezember
మార్చి 16	16. März
మార్చి 17	17. März
మార్చి 18	18. März
మార్చి 19	19. März
1989	1989
1988	1988
మార్చి 20	20. März
1987	1987
1986	1986
1985	1985
1984	1984
మార్చి 21	21. März
1983	1983
మార్చి 22	22. März
1982	1982
1981	1981
డిసెంబర్ 18	18. Dezember
1980	1980
మార్చి 23	23. März
డిసెంబర్ 19	19. Dezember
మార్చి 24	24. März
మార్చి 25	25. März
డిసెంబర్ 20	20. Dezember
మార్చి 26	26. März
మార్చి 27	27. März
మార్చి 28	28. März
మార్చి 29	29. März
మార్చి 30	30. März
మార్చి 31	31. März
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	15. April
ఏప్రిల్ 13	13. April
ఏప్రిల్ 12	12. April
ఏప్రిల్ 14	14. April
ఏప్రిల్ 11	11. April
ఏప్రిల్ 10	10. April
ఏప్రిల్ 8	8. April
ఏప్రిల్ 9	9. April
ఏప్రిల్ 7	7. April
ఏప్రిల్ 6	6. April
ఏప్రిల్ 5	5. April
ఏప్రిల్ 4	4. April
ఏప్రిల్ 3	3. April
ఏప్రిల్ 1	1. April
ఏప్రిల్ 2	2. April
హబుల్ టెలీస్కోపు	Hubble-Weltraumteleskop
