Saot Amerika	Südamerika
Norway	Norwegen
Ireland	Irland
Hungary	Ungarn
Spain	Spanien
Yunaeted Stet blong Amerika	Vereinigte Staaten
Belgium	Belgien
Luxembourg	Luxemburg
Finland	Finnland
Sweden	Schweden
Denmark	Dänemark
Poland	Polen
Litwania	Litauen
Itali	Italien
Switzerland	Schweiz
Austria	Österreich
Greece	Griechenland
Turkey	Türkei
Portugal	Portugal
Yurop	Europa
Esia	Asien
Wikipedia	Wikipedia
Netherlands	Niederlande
Berlin	Berlin
Barak Obama	Barack Obama
Uruguay	Uruguay
London	London
Paris	Paris
Mexico	Mexiko
Pasifik	Pazifischer Ozean
Kalifornia	Kalifornien
Boston, Massachusetts	Boston
Franis	Frankreich
Unaeted Kingdom	Vereinigtes Königreich
China	Volksrepublik China
Brazil	Brasilien
Rusia	Russland
Alabama	Alabama
Germany	Deutschland
Belarus	Weißrussland
Iceland	Island
Estonia	Estland
David Cameron	David Cameron
Wan	Eins
Tu	Zwei
Tri	Drei
Fo	Vier
Faef	Fünf
Latvia	Lettland
Ukraine	Ukraine
Czechia	Tschechien
Slovakia	Slowakei
Slovenia	Slowenien
Vilnius	Vilnius
Moldova	Moldawien
Romania	Rumänien
Bulgaria	Bulgarien
Rome	Rom
Macedonia	Mazedonien
Albania	Albanien
Croatia	Kroatien
Bosnia and Herzegovina	Bosnien und Herzegowina
Azerbaijan	Aserbaidschan
Andorra	Andorra
Cyprus	Republik Zypern
Georgian Republic	Georgien
Kazakhstan	Kasachstan
Malta	Malta
Monaco	Monaco
Montenegro	Montenegro
Vatican Siti	Vatikanstadt
San Marino	San Marino
Indonesia	Indonesien
Warsaw	Warschau
Wota	Wasser
Chile	Chile
Jisas Kraes	Jesus Christus
Nicolas Sarkozy	Nicolas Sarkozy
Singapore	Singapur
Saens	Wissenschaft
Liechtenstein	Liechtenstein
Spot	Sport
Wol Wo Tu	Zweiter Weltkrieg
Armenia	Armenien
Serbia	Serbien
Ostrelia	Australien
Argentina	Argentinien
Peru	Peru
Baeoloji	Biologie
Islam	Islam
Boteni	Botanik
Flaoa	Blüte
Wikimidia Commons	Wikimedia Commons
Moskow	Moskau
San-Peterburg	Sankt Petersburg
Niu Zilan	Neuseeland
