Aprika	Afrika
Hapon	Japan
Timog Amerika	Südamerika
Noruwega	Norwegen
Inglatera	England
Scotland	Schottland
Wales	Wales
Kahilagaang Irlanda	Nordirland
Irlanda (bansa)	Irland
Unggarya	Ungarn
Espanya	Spanien
Estados Unidos	Vereinigte Staaten
Belhika	Belgien
Luxembourg	Luxemburg
Sansinukob	Universum
Daigdig	Erde
Buhay	Leben
Kamatayan	Tod
Tao	Mensch
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Bilang ng Halimaw	Sechshundertsechsundsechzig
Stanley Kubrick	Stanley Kubrick
Finland	Finnland
Sweden	Schweden
Dinamarka	Dänemark
Poland	Polen
Lithuania	Litauen
Italya	Italien
Suwisa	Schweiz
Austria	Österreich
Gresya	Griechenland
Turkiya	Türkei
Serbesa	Bier
Portugal	Portugal
Europa	Europa
Asya	Asien
Hilagang Amerika	Nordamerika
Antartiko	Antarktika
Wikipedia	Wikipedia
Netherlands	Niederlande
Titi	Penis
PHP	PHP
Lungsod ng New York	New York City
Washington, D.C.	Washington, D.C.
San Francisco, California	San Francisco
Berlin	Berlin
Los Angeles, California	Los Angeles
Kompyuter	Computer
Berna	Bern
Hinebra	Genf
Zürich	Zürich
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	London
Cairo	Kairo
Alehandriya	Alexandria
Alexandria, Virginia	Alexandria (Virginia)
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Android	Android (Betriebssystem)
Google	Google Inc.
Mehiko	Mexiko
Karagatang Atlantiko	Atlantischer Ozean
Karagatang Pasipiko	Pazifischer Ozean
California	Kalifornien
Boston, Massachusetts	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
Lunes	Montag
Enero	Januar
Pebrero	Februar
Marso	März
Marte	Mars (Planet)
Marte (mitolohiya)	Mars (Mythologie)
Kenya	Kenia
Ethiopia	Äthiopien
Ghana	Ghana
Abril	April
Mayo	Mai
Hunyo	Juni
Hulyo	Juli
Agosto	August
Setyembre	September
Oktubre	Oktober
Nobyembre	November
Disyembre	Dezember
Martes	Dienstag
Miyerkules	Mittwoch
Huwebes	Donnerstag
Biyernes	Freitag
Sabado	Samstag
Linggo (araw)	Sonntag
Leon	Löwe
Pransiya	Frankreich
Esperanto	Esperanto
Aso	Haushund
United Kingdom	Vereinigtes Königreich
Pusa	Hauskatze
Kuting	Katzenjunges
Tsina	Volksrepublik China
Nyan Cat	Nyan Cat
Wikang Pranses	Französische Sprache
Wiktionary	Wiktionary
Isda	Fische
Inuming alkohol	Alkoholisches Getränk
Brazil	Brasilien
Alkohol	Alkohole
François Hollande	François Hollande
Rusya	Russland
Cetacea	Wale
Parisukat	Quadrat
Dagat	Meer
Dagat Itim	Schwarzes Meer
Pi	Kreiszahl
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
Pasta	Pasta
Boeing 747	Boeing 747
Pundasyong Wikimedia	Wikimedia
Jimmy Wales	Jimmy Wales
Alemanya	Deutschland
Belarus	Weißrussland
Wikang Aleman	Deutsche Sprache
Iceland	Island
Diyos	Gott
Estonia	Estland
David Cameron	David Cameron
Saturno (planeta)	Saturn (Planet)
Tsokolate	Schokolade
