Áfríkà	Afrika
Japan	Japan
Gúúsù Amẹ́ríkà	Südamerika
Nọ́rwèy	Norwegen
Ilẹ̀gẹ̀ẹ́sì	England
Skọ́tlándì	Schottland
Wélsì	Wales
Írẹ́lándì Apáàríwá	Nordirland
Írẹ́lándì	Irland
Húngárì	Ungarn
Spéìn	Spanien
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Vereinigte Staaten
Bẹ́ljíọ̀m	Belgien
Lúksẹ́mbọ̀rg	Luxemburg
Ayé	Erde
Ọmọnìyàn	Mensch
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finnland
Swídìn	Schweden
Dẹ́nmárkì	Dänemark
Pólàndì	Polen
Lituéníà	Litauen
Itálíà	Italien
Swítsàlandì	Schweiz
Austríà	Österreich
Gríìsì	Griechenland
Túrkì	Türkei
Pọ́rtúgàl	Portugal
Europe	Europa
Ásíà	Asien
Àríwá Amẹ́ríkà	Nordamerika
Antárktìkà	Antarktika
Wikipedia	Wikipedia
Nẹ́dálándì	Niederlande
New York	New York City
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berlin	Berlin
Los Angeles	Los Angeles
Kọ̀mpútà	Computer
Berne	Bern
Geneva	Genf
Zürich	Zürich
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugúáì	Uruguay
MediaWiki	MediaWiki
Lọndọnu	London
Káírò	Kairo
Parisi	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Mẹ́ksíkò	Mexiko
Òkun Atlántíkì	Atlantischer Ozean
Òkun Pàsífíkì	Pazifischer Ozean
Kalifọ́rníà	Kalifornien
Boston	Boston
Ọjọ́ Ajé	Montag
Oṣù Kínní	Januar
Oṣù Kejì	Februar
Oṣù Kẹta	März
Mársì	Mars (Planet)
Kẹ́nyà	Kenia
Ethiópíà	Äthiopien
Ghánà	Ghana
Oṣù Kẹrin	April
Oṣù Kàrún	Mai
Oṣù Kẹfà	Juni
Oṣù Keje	Juli
Oṣù Kẹjọ	August
Oṣù Kẹ̀sán	September
Oṣù Kẹ̀wá	Oktober
Oṣù Kọkànlá	November
Oṣù Kejìlá	Dezember
Ọjọ́ Ìsẹ́gun	Dienstag
Ọjọ́rú	Mittwoch
Ọjọ́bọ̀	Donnerstag
Ọjọ́ Ẹtì	Freitag
Ọjọ́ Àbámẹ́ta	Samstag
Ọjọ́ Àìkú	Sonntag
Kìnìún	Löwe
Fránsì	Frankreich
Èdè Esperanto	Esperanto
Ajá	Haushund
Ilẹ̀ọba Aṣọ̀kan	Vereinigtes Königreich
Ológbò	Hauskatze
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	Volksrepublik China
Èdè Faransé	Französische Sprache
Brasil	Brasilien
Ọtí	Alkohole
François Hollande	François Hollande
Rọ́síà	Russland
Alọ́poméjì	Quadrat
