Africa	Afrika
Iaponia	Japan
America Australis	Südamerika
Norvegia	Norwegen
Anglia	England
Scotia	Schottland
Cambria	Wales
Hibernia Septentrionalis	Nordirland
Hibernia (res publica)	Irland
Hungaria	Ungarn
Hispania	Spanien
Civitates Foederatae Americae	Vereinigte Staaten
Belgica	Belgien
Luxemburgum	Luxemburg
Universum	Universum
Tellus (planeta)	Erde
Vita	Leben
Mors	Tod
Homo sapiens	Mensch
Felicitas	Glück
Georgius Washingtonius	George Washington
Duglassius Adams	Douglas Adams
Timotheus Ioannes Berners-Lee	Tim Berners-Lee
Sescenti sexaginta sex	Sechshundertsechsundsechzig
Imagine (carmen)	Imagine (Lied)
Stanley Kubrick	Stanley Kubrick
Calendarium Mayense	Maya-Kalender
Finnia	Finnland
Suecia	Schweden
Dania	Dänemark
Polonia	Polen
Lituania	Litauen
Italia	Italien
Helvetia	Schweiz
Austria	Österreich
Graecia	Griechenland
Turcia	Türkei
Cervesia	Bier
Portugallia	Portugal
Europa	Europa
Asia	Asien
America Septentrionalis	Nordamerika
Antarctica	Antarktika
Vicipaedia	Wikipedia
All your base are belong to us	All your base are belong to us
Nederlandia	Niederlande
Lolcat	Lolcat
Penis	Penis
PHP	PHP
Novum Eboracum (urbs)	New York City
Vasingtonia (D.C.)	Washington, D.C.
Franciscopolis (California)	San Francisco
Berolinum	Berlin
Angelopolis	Los Angeles
Airbus	Airbus
Computatrum	Computer
Berna (urbs)	Bern
Genava	Genf
Turicum (urbs)	Zürich
Interrete	Internet
Baracus Obama	Barack Obama
Uraquaria	Uruguay
Basilea	Basel
Typographum	Drucker (Gerät)
MediaVici	MediaWiki
Londinium	London
Cairus	Kairo
Capitis dolor	Kopfschmerz
Alexandria	Alexandria
Lutetia	Paris
Abrahamus Lincoln	Abraham Lincoln
Google	Google Inc.
Mexicum	Mexiko
Oceanus Atlanticus	Atlantischer Ozean
Oceanus Pacificus	Pazifischer Ozean
California	Kalifornien
Bostonia	Boston
Dies lunae	Montag
Spatium	Raum (Physik)
Ianuarius	Januar
Februarius	Februar
Martius	März
Mars (planeta)	Mars (Planet)
Mars (deus)	Mars (Mythologie)
Kenia	Kenia
Aethiopia	Äthiopien
Gana	Ghana
Aprilis	April
Maius	Mai
Iunius	Juni
Iulius	Juli
Sextilis	August
September	September
October	Oktober
November	November
December	Dezember
Dies Martis	Dienstag
Dies Mercurii	Mittwoch
Dies Iovis	Donnerstag
Dies Veneris	Freitag
Dies Saturni	Samstag
Dies solis	Sonntag
Episcopus (scacci)	Läufer (Schach)
Pedes (scacci)	Bauer (Schach)
Equus (scacci)	Springer (Schach)
Turris (scacci)	Turm (Schach)
Rex (scacci)	König (Schach)
Regina (scacci)	Dame (Schach)
Leo	Löwe
Francia	Frankreich
Lingua Esperantica	Esperanto
Canis	Haushund
Britanniarum Regnum	Vereinigtes Königreich
Feles	Hauskatze
Res publica popularis Sinarum	Volksrepublik China
Lingua Francogallica	Französische Sprache
Victionarium	Wiktionary
Piscis	Fische
Ethanol	Ethanol
Brasilia	Brasilien
Alcohol	Alkohole
Franciscus Hollande	François Hollande
Russia	Russland
Cetacea	Wale
Fibra optica	Lichtwellenleiter
Isuria	Yorkshire
Quadrum	Quadrat
Mare	Meer
Pontus Euxinus	Schwarzes Meer
Numerus pi	Kreiszahl
Pi (littera Graeca)	Pi (Buchstabe)
Vici	Wiki
Torontum	Toronto
Alabama	Alabama
Paulopolis	São Paulo
Sanctus Paulus (provincia)	São Paulo (Bundesstaat)
Quebecum	Québec
Placenta Neapolitana	Pizza
Pasta	Pasta
Vicimedia	Wikimedia
Iacobus Wales	Jimmy Wales
Germania	Deutschland
Ruthenia Alba	Weißrussland
Laurentius Sanger	Larry Sanger
Hymnus Mameli	Fratelli d’Italia
Lingua Theodisca	Deutsche Sprache
Islandia	Island
Deus	Gott
Estonia	Estland
David Cameron	David Cameron
Saturnus (planeta)	Saturn (Planet)
Socolata	Schokolade
Aëroplanum	Flugzeug
Bellum	Krieg
Unus	Eins
Duo	Zwei
Tres	Drei
Quattuor	Vier
Quinque	Fünf
0	Null
Infinitas	Unendlichkeit
Stephanus Harper	Stephen Harper
Georgius W. Bush	George W. Bush
Rectangulum	Rechteck
Lettonia	Lettland
Ucraina	Ukraine
Cechia	Tschechien
Slovacia	Slowakei
Slovenia	Slowenien
Vilna	Vilnius
Res publica Moldavica	Moldawien
Romania	Rumänien
Bulgaria	Bulgarien
Roma	Rom
Res publica Macedonica	Mazedonien
Albania	Albanien
Groenlandia	Grönland
